City,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind_Speed (mph)
atuona,-9.8,-139.0333333,78.91,76.0,86.0,19.69
rikitea,-23.1202778,-134.9691667,75.34,85.0,100.0,19.24
karauzyak,43.0275,60.0125,48.2,61.0,0.0,4.7
punta arenas,-53.15,-70.916667,55.4,37.0,20.0,34.45
pathein,16.7833333,94.7333333,75.83,90.0,0.0,4.36
mys shmidta,68.933333,-179.5,28.4,98.0,100.0,6.24
nizhneyansk,71.433333,136.066667,10.67,96.0,98.0,11.01
mataura,-23.3666667,-149.4666667,68.16,92.0,100.0,17.92
maniitsoq,65.4166667,-52.9,28.0,89.0,0.0,17.54
butaritari,3.0833333,172.8166667,81.54,65.0,100.0,6.38
hobart,-42.883209,147.331665,49.46,61.0,75.0,8.05
terrace,54.5,-128.583333,33.8,85.0,90.0,3.36
opportunity,47.6575,-117.2388889,31.62,62.0,80.0,1.01
qaanaaq,77.4894444,-69.3322222,5.83,75.0,84.0,9.55
east london,-33.011051,27.910049,62.6,93.0,90.0,8.05
pisco,-13.7,-76.2166667,70.47,64.0,0.0,12.75
mananara,-16.1666667,49.7666667,69.21,85.0,12.0,3.8
ushuaia,-54.8,-68.3,50.0,61.0,75.0,23.04
yatou,37.15,122.383333,55.06,81.0,22.0,3.94
hervey bay,-25.285,152.873,73.99,92.0,96.0,1.01
bluff,-46.6,168.333333,48.0,90.0,89.0,1.99
svetlogorsk,66.916667,88.35,-6.25,88.0,0.0,6.6
busselton,-33.652489,115.345497,53.98,75.0,24.0,7.54
vaini,-21.2,-175.2,75.2,83.0,20.0,9.17
barcelos,-1.0,-62.966667,90.73,58.0,36.0,3.22
hilo,19.7297222,-155.09,73.22,83.0,90.0,6.93
los llanos de aridane,28.658507,-17.918211,66.33,68.0,75.0,9.17
naifaru,5.4333333,73.3333333,82.0,77.0,30.0,9.17
mogadishu,2.0666667,45.3666667,79.75,84.0,84.0,10.22
grand river south east,-20.2861111,57.7758333,73.2,73.0,40.0,8.05
ishigaki,24.344782,124.157167,77.0,72.0,99.0,16.98
dorna,47.35,25.433333,42.01,86.0,1.0,2.95
kaitangata,-46.275,169.85,48.99,84.0,99.0,4.0
port lincoln,-34.72625,135.87442,54.09,87.0,1.0,6.69
guerrero negro,27.976944,-114.061111,74.08,49.0,3.0,18.59
hammerfest,70.661667,23.688333,37.4,74.0,0.0,13.87
rocha,-34.4833333,-54.3333333,58.06,74.0,100.0,16.8
luderitz,-26.6480556,15.1594444,62.1,71.0,0.0,16.71
kodiak,57.79,-152.4072222,48.2,49.0,40.0,16.11
port elizabeth,-33.917988,25.570066,64.4,88.0,98.0,18.34
chuy,-33.6833333,-53.45,58.62,92.0,100.0,16.89
bowen,-20.01367,148.247543,71.6,88.0,40.0,3.36
lasa,29.65,91.1,38.61,71.0,2.0,5.19
hauterive,49.183333,-68.266667,35.6,59.0,90.0,6.93
opuwo,-18.0666667,13.85,68.65,41.0,39.0,7.43
sovetskiy,67.483333,64.416667,8.56,91.0,0.0,3.13
jamestown,-15.9333333,-5.7166667,63.63,92.0,12.0,17.47
loyga,61.078451,44.607501,27.57,96.0,70.0,6.11
arraial do cabo,-22.966667,-42.016667,79.57,69.0,20.0,5.82
carutapera,-1.216667,-46.016667,83.8,68.0,92.0,7.94
dubbo,-32.24295,148.604843,50.0,87.0,40.0,9.17
norman wells,65.283333,-126.85,24.8,79.0,75.0,21.92
saint george,32.3816667,-64.6780556,75.09,88.0,90.0,14.99
belushya guba,71.539238,52.332117,28.94,94.0,100.0,19.3
sur,22.5666667,59.5288889,71.26,62.0,0.0,2.15
hovd,44.6666667,102.1666667,31.64,67.0,0.0,5.39
palabuhanratu,-6.9875,106.551389,76.3,84.0,93.0,0.36
alyangula,-13.85413,136.421295,77.0,94.0,75.0,6.15
castro,-42.463611,-73.808333,47.79,100.0,90.0,16.11
mar del plata,-38.002278,-57.557539,66.2,37.0,0.0,11.41
mitsamiouli,-11.3847222,43.2844444,78.35,74.0,11.0,8.05
iqaluit,63.733333,-68.5,15.39,72.0,75.0,2.24
barrow,71.2905556,-156.7886111,19.4,79.0,90.0,6.93
kapaa,22.0783333,-159.3219444,81.03,78.0,40.0,3.36
jiddah,21.516944,39.219167,86.0,62.0,20.0,2.24
gazli,40.1333333,63.45,51.46,43.0,24.0,4.09
sentyabrskiy,45.266667,148.5,47.75,72.0,14.0,10.98
nikolayevsk-na-amure,53.140556,140.73,30.81,96.0,19.0,3.24
trinidad,-14.8333333,-64.9,96.8,50.0,40.0,13.87
tasiilaq,65.6,-37.6333333,33.8,50.0,100.0,20.8
port alfred,-33.590572,26.891037,65.79,82.0,100.0,28.01
torbat-e jam,35.244,60.6225,57.06,33.0,0.0,9.04
hithadhoo,-0.6,73.0833333,83.16,66.0,17.0,6.53
waw,7.7,28.0,73.58,79.0,100.0,4.25
cape town,-33.925839,18.423218,65.32,82.0,0.0,8.05
husavik,66.05,-17.35,37.4,69.0,75.0,5.82
putina,-15.4666667,-69.4333333,57.9,41.0,100.0,12.57
umzimvubu,-31.622911,29.544772,64.87,87.0,74.0,5.53
sola,-13.8833333,167.55,82.4,78.0,75.0,5.82
yellowknife,62.45,-114.35,24.58,62.0,75.0,10.29
santa marta,11.240791,-74.19904,84.0,77.0,12.0,7.0
